feature,importance,importance_pct,cumulative_pct
deposit_required,0.1970744447911947,19.707444479119477,19.707444479119516
lead_time,0.1158452149298009,11.584521492980098,31.291965972099632
agent,0.111379958892375,11.13799588923751,42.429961861337155
has_special_requests,0.0766938348148578,7.669383481485788,50.09934534282296
room_type_changed,0.0716322059596318,7.163220595963191,57.262565938786146
adr,0.0544940437848527,5.449404378485275,62.71197031727144
has_booking_changes,0.0358343388344169,3.583433883441699,66.29540420071312
total_of_special_requests,0.0344371702095164,3.4437170209516497,69.73912122166477
total_revenue,0.0321918389182738,3.2191838918273894,72.95830511349217
revenue_per_guest,0.0318334408229698,3.183344082296989,76.14164919578916
arrival_date_week_number,0.0305368092396754,3.053680923967548,79.1953301197567
cancellation_ratio,0.0297673573296822,2.97673573296823,82.17206585272491
arrival_date_day_of_month,0.0294743017415629,2.947430174156296,85.11949602688121
requires_parking,0.0170034263393574,1.7003426339357488,86.81983866081696
arrival_day_of_week,0.0168042296132913,1.6804229613291386,88.5002616221461
arrival_date_year,0.0157328751956312,1.5732875195631206,90.07354914170921
arrival_month_num,0.0139327453416003,1.3932745341600354,91.46682367586924
required_car_parking_spaces,0.0138307642629279,1.3830764262927984,92.84990010216204
booking_changes,0.0124001676510516,1.240016765105166,94.08991686726719
stays_in_week_nights,0.0104754789026732,1.0475478902673272,95.13746475753452
is_direct_booking,0.0104434785204731,1.0443478520473175,96.18181260958183
total_nights,0.0088392965572753,0.8839296557275396,97.06574226530937
stays_in_weekend_nights,0.0068518891871966,0.6851889187196686,97.75093118402903
has_agent,0.0036190939726642,0.3619093972664239,98.11284058129546
previous_cancellations,0.0032315242049152,0.3231524204915257,98.43599300178698
is_weekend_arrival,0.0029107245469412,0.2910724546941207,98.7270654564811
is_peak_season,0.0028913407290266,0.2891340729026665,99.01619952938377
is_summer,0.0028371010940127,0.2837101094012751,99.29990963878504
has_canceled_before,0.002659104097747,0.2659104097747068,99.56582004855973
is_returning_customer,0.0014294623761413,0.1429462376141308,99.70876628617386
previous_bookings_not_canceled,0.0012944601424493,0.1294460142449386,99.83821230041879
total_previous_bookings,0.0009300749910583,0.093007499105834,99.93121979952461
is_repeated_guest,0.0005786913795136,0.0578691379513685,99.98908893747598
repeated_and_canceled_before,0.0001091106252401,0.0109110625240156,99.99999999999999
total_guests,0.0,0.0,99.99999999999999
babies,0.0,0.0,99.99999999999999
adults,0.0,0.0,99.99999999999999
is_family,0.0,0.0,99.99999999999999
children,0.0,0.0,99.99999999999999
days_in_waiting_list,0.0,0.0,99.99999999999999
