,mae,rmse,mape
MA(6),0.04342093923819,0.0525686219672511,10.38872420430752
MA(3),0.0567929479065562,0.0675267059633821,13.503336486834169
"ARIMA(1,1,1)",0.0704806421382363,0.0809364488188489,16.890570804401627
Naive,0.0718261996724159,0.0819440712019022,17.2421592675513
"ARIMA(2,1,2)",0.0722673183065527,0.0828467906748323,17.32591186836182
Exp. Smoothing,0.0819577257663579,0.0912375737422276,19.813530856824546
