,5% labeled,10% labeled,20% labeled
supervised,0.6830485489557906,0.6794410332415838,0.6798203400705807
self_training,0.6799978205198061,0.6778861277131173,0.6797267001174335
label_spreading,0.4616815668440907,0.5005653606017403,0.5430482980905406
