,5% labeled,10% labeled,20% labeled
supervised,0.6776595157999228,0.681738946701178,0.6811023622047244
self_training,0.6645185953798264,0.6783871986524898,0.6790980978841633
label_spreading,0.46168156684409073,0.5005653606017403,0.5430482980905406
