antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,rule
"distribution_channel=TA/TO, market_segment=Groups, customer_type=Transient, total_of_special_requests=0_req","is_canceled=Canceled, meal=BB, is_repeated_guest=NewGuest",0.06362435976148224,0.28549801936064456,0.054044961774922,0.849438202247191,2.9752857976018756,1.0,0.03588033307992973,4.745572856485271,0.7090080153958865,0.18315519452757592,0.789277284272771,0.5193694281135207,"distribution_channel=TA/TO, market_segment=Groups, customer_type=Transient, total_of_special_requests=0_req","is_canceled=Canceled, meal=BB, is_repeated_guest=NewGuest","distribution_channel=TA/TO, market_segment=Groups, customer_type=Transient, total_of_special_requests=0_req → is_canceled=Canceled, meal=BB, is_repeated_guest=NewGuest"
"market_segment=Groups, customer_type=Transient, total_of_special_requests=0_req","is_canceled=Canceled, hotel=City Hotel, distribution_channel=TA/TO, is_repeated_guest=NewGuest",0.07078157458726167,0.25838302453301487,0.05439819681920253,0.7685361216730038,2.974406399421972,1.0,0.036109439496136674,3.2040289864117795,0.7143621412410323,0.197979797979798,0.687892960943556,0.4895346450432593,"market_segment=Groups, customer_type=Transient, total_of_special_requests=0_req","is_canceled=Canceled, hotel=City Hotel, distribution_channel=TA/TO, is_repeated_guest=NewGuest","market_segment=Groups, customer_type=Transient, total_of_special_requests=0_req → is_canceled=Canceled, hotel=City Hotel, distribution_channel=TA/TO, is_repeated_guest=NewGuest"
"deposit_type=Non Refund, is_repeated_guest=NewGuest, total_of_special_requests=0_req, market_segment=Groups, hotel=City Hotel","is_canceled=Canceled, distribution_channel=TA/TO, customer_type=Transient",0.06441493343201488,0.2803424697857882,0.05370854744703577,0.8337903120511816,2.9741847986439125,1.0,0.035650305917617586,4.329816986575529,0.7094741440933974,0.18453447379067214,0.7690433560816841,0.5126861139351699,"deposit_type=Non Refund, is_repeated_guest=NewGuest, total_of_special_requests=0_req, market_segment=Groups, hotel=City Hotel","is_canceled=Canceled, distribution_channel=TA/TO, customer_type=Transient","deposit_type=Non Refund, is_repeated_guest=NewGuest, total_of_special_requests=0_req, market_segment=Groups, hotel=City Hotel → is_canceled=Canceled, distribution_channel=TA/TO, customer_type=Transient"
"deposit_type=Non Refund, market_segment=Groups, hotel=City Hotel, total_of_special_requests=0_req","is_canceled=Canceled, distribution_channel=TA/TO, customer_type=Transient",0.06441493343201488,0.2803424697857882,0.05370854744703577,0.8337903120511816,2.9741847986439125,1.0,0.035650305917617586,4.329816986575529,0.7094741440933974,0.18453447379067214,0.7690433560816841,0.5126861139351699,"deposit_type=Non Refund, market_segment=Groups, hotel=City Hotel, total_of_special_requests=0_req","is_canceled=Canceled, distribution_channel=TA/TO, customer_type=Transient","deposit_type=Non Refund, market_segment=Groups, hotel=City Hotel, total_of_special_requests=0_req → is_canceled=Canceled, distribution_channel=TA/TO, customer_type=Transient"
"deposit_type=Non Refund, market_segment=Groups, hotel=City Hotel","is_canceled=Canceled, distribution_channel=TA/TO, customer_type=Transient",0.06442334379021203,0.2803424697857882,0.05370854744703577,0.8336814621409921,2.973796523866022,1.0,0.03564794813702881,4.3269832664370975,0.7094335994632859,0.1845291415031641,0.7688921037072982,0.5126316889800752,"deposit_type=Non Refund, market_segment=Groups, hotel=City Hotel","is_canceled=Canceled, distribution_channel=TA/TO, customer_type=Transient","deposit_type=Non Refund, market_segment=Groups, hotel=City Hotel → is_canceled=Canceled, distribution_channel=TA/TO, customer_type=Transient"
"deposit_type=Non Refund, market_segment=Groups, hotel=City Hotel, is_repeated_guest=NewGuest","is_canceled=Canceled, distribution_channel=TA/TO, customer_type=Transient",0.06442334379021203,0.2803424697857882,0.05370854744703577,0.8336814621409921,2.973796523866022,1.0,0.03564794813702881,4.3269832664370975,0.7094335994632859,0.1845291415031641,0.7688921037072982,0.5126316889800752,"deposit_type=Non Refund, market_segment=Groups, hotel=City Hotel, is_repeated_guest=NewGuest","is_canceled=Canceled, distribution_channel=TA/TO, customer_type=Transient","deposit_type=Non Refund, market_segment=Groups, hotel=City Hotel, is_repeated_guest=NewGuest → is_canceled=Canceled, distribution_channel=TA/TO, customer_type=Transient"
"deposit_type=Non Refund, lead_time=180d+, hotel=City Hotel, total_of_special_requests=0_req","is_canceled=Canceled, distribution_channel=TA/TO, is_repeated_guest=NewGuest",0.056080268458633654,0.33432014869513293,0.055727033414353117,0.9937012597480503,2.9723044322231624,1.0,0.03697826972439974,105.68460115478152,0.7029842532350495,0.16651169803734325,0.9905378835793169,0.580194445123956,"deposit_type=Non Refund, lead_time=180d+, hotel=City Hotel, total_of_special_requests=0_req","is_canceled=Canceled, distribution_channel=TA/TO, is_repeated_guest=NewGuest","deposit_type=Non Refund, lead_time=180d+, hotel=City Hotel, total_of_special_requests=0_req → is_canceled=Canceled, distribution_channel=TA/TO, is_repeated_guest=NewGuest"
"deposit_type=Non Refund, lead_time=180d+, hotel=City Hotel","is_canceled=Canceled, distribution_channel=TA/TO, is_repeated_guest=NewGuest",0.056080268458633654,0.33432014869513293,0.055727033414353117,0.9937012597480503,2.9723044322231624,1.0,0.03697826972439974,105.68460115478152,0.7029842532350495,0.16651169803734325,0.9905378835793169,0.580194445123956,"deposit_type=Non Refund, lead_time=180d+, hotel=City Hotel","is_canceled=Canceled, distribution_channel=TA/TO, is_repeated_guest=NewGuest","deposit_type=Non Refund, lead_time=180d+, hotel=City Hotel → is_canceled=Canceled, distribution_channel=TA/TO, is_repeated_guest=NewGuest"
"distribution_channel=TA/TO, market_segment=Groups, customer_type=Transient","is_canceled=Canceled, meal=BB, is_repeated_guest=NewGuest",0.0637084633434538,0.28549801936064456,0.05405337213311915,0.8484488448844885,2.9718204237792545,1.0,0.035864732032052864,4.7145927729469665,0.7086531140139526,0.1831367185273836,0.7878926032088819,0.5188894787080782,"distribution_channel=TA/TO, market_segment=Groups, customer_type=Transient","is_canceled=Canceled, meal=BB, is_repeated_guest=NewGuest","distribution_channel=TA/TO, market_segment=Groups, customer_type=Transient → is_canceled=Canceled, meal=BB, is_repeated_guest=NewGuest"
"deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO, total_of_special_requests=0_req","is_canceled=Canceled, customer_type=Transient, is_repeated_guest=NewGuest",0.09858621878705814,0.3042531181403016,0.08913297617345523,0.9041119262924415,2.971578177468421,1.0,0.0591378117018308,7.255822908504787,0.7360420880374405,0.2841286863270777,0.8621796572752806,0.5985342913195953,"deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO, total_of_special_requests=0_req","is_canceled=Canceled, customer_type=Transient, is_repeated_guest=NewGuest","deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO, total_of_special_requests=0_req → is_canceled=Canceled, customer_type=Transient, is_repeated_guest=NewGuest"
