feature,importance,importance_pct
deposit_required,2.3738010953637914,13.941469002188716
room_type_changed,1.7134635383978545,10.063268929148991
required_car_parking_spaces,1.018365934172556,5.980921119246445
requires_parking,1.012821770854868,5.9483599323856
is_direct_booking,0.9950388644508579,5.843919910479579
cancellation_ratio,0.9481502804982618,5.5685405869935645
previous_cancellations,0.9346130580639146,5.489035708799353
has_canceled_before,0.8157933449807144,4.791200768022849
has_booking_changes,0.7676751575950436,4.508599913558237
has_special_requests,0.7496246205494085,4.402588081654513
arrival_month_num,0.7135211372591681,4.190550268484331
previous_bookings_not_canceled,0.6911854316856649,4.059371397810127
stays_in_weekend_nights,0.5940397082083151,3.4888290321503326
stays_in_week_nights,0.5928434946913649,3.4818036020504253
total_nights,0.48301596336185587,2.836780256746675
total_of_special_requests,0.34027552192251087,1.9984575162390557
is_returning_customer,0.3193802769495064,1.8757385526943713
booking_changes,0.2935488000247791,1.7240288178180174
total_previous_bookings,0.2672528880786184,1.5695914296149
has_agent,0.256504551046669,1.506465834193842
is_repeated_guest,0.24317961746853586,1.4282077405403393
is_weekend_arrival,0.22889715303058583,1.344326013623355
is_summer,0.16802830969246713,0.9868398307014399
is_peak_season,0.16224268070741413,0.9528605022266083
arrival_date_week_number,0.15556716457603165,0.9136548158693794
arrival_day_of_week,0.12550542022302066,0.7371004795065867
repeated_and_canceled_before,0.030517369724908327,0.17923025011619156
arrival_date_day_of_month,0.023675948665447203,0.13905019466938878
adr,0.0032296254349297245,0.01896777408085773
lead_time,0.002974271904700611,0.01746806825746688
total_revenue,0.0011116992135674732,0.006529072783721706
revenue_per_guest,0.0005558496067991886,0.0032645363919516024
agent,0.00015895350517182623,0.0009335429870136801
adults,0.0001487560604459372,0.0008736528134750555
total_guests,0.0001487560604459372,0.0008736528134750555
arrival_date_year,5.0946609535012765e-05,0.0002992123388038717
children,0.0,0.0
days_in_waiting_list,0.0,0.0
is_family,0.0,0.0
babies,0.0,0.0
