,mae,rmse,mape
Naive,0.07182619967241598,0.08194407120190228,17.2421592675513
MA(3),0.056792947906556236,0.0675267059633821,13.503336486834167
MA(6),0.04342093923819009,0.052568621967251115,10.38872420430752
