,accuracy,precision,recall,f1,roc_auc,pr_auc,specificity,true_positives,true_negatives,false_positives,false_negatives
Logistic Regression,0.7558840773934166,0.6514360313315927,0.7334087054833239,0.6899962771898102,0.8415454005709768,0.8035261069139927,0.7691079624825384,6487.0,11562.0,3471.0,2358.0
Decision Tree,0.7986431024373901,0.7487369069624152,0.6869417750141322,0.7165094339622642,0.8729056223284466,0.8122345301659619,0.8643650635269075,6076.0,12994.0,2039.0,2769.0
Random Forest,0.8286707429432951,0.7835162213740458,0.7426794799321651,0.7625515119856057,0.905515944815884,0.8756925690254468,0.8792656156455797,6569.0,13218.0,1815.0,2276.0
XGBoost,0.8302621660105537,0.769880603739581,0.7727529677784059,0.7713141116063872,0.9069771733014578,0.8777752935852161,0.864098982239074,6835.0,12990.0,2043.0,2010.0
