Method,n_clusters,Silhouette,Davies-Bouldin,Calinski-Harabasz
KMeans,2,0.595197245762689,0.9924181831359239,3059.2585937250437
Hierarchical,2,0.6183866633704003,1.1194145272986298,3076.8302535204034
DBSCAN,4,0.1551294336973174,1.9948381003114204,1489.3428919325345
