Metric,Logistic (Mean),Logistic (Std),RF Tuned (Mean),RF Tuned (Std)
accuracy,0.7852011824957753,0.005323328900303182,0.8757254505499104,0.0016200421595844424
f1,0.783417097060173,0.004670150979148344,0.8722309770239776,0.0017559917076449283
precision,0.7901466633765584,0.009334818729068418,0.8974595291430971,0.0016149866660587749
recall,0.7769278505811062,0.007592658663634021,0.848386018923468,0.0026161953082403317
roc_auc,0.8746910410935305,0.005559877086767703,0.948658487280334,0.0009208537980726112
