feature,importance,importance_pct
deposit_required,0.2033670079920721,20.33670079920721
lead_time,0.1133186953982132,11.33186953982132
agent,0.10902054744120145,10.902054744120145
has_special_requests,0.07839693910608504,7.839693910608505
room_type_changed,0.0728535615210319,7.28535615210319
adr,0.05530096470665164,5.530096470665164
has_booking_changes,0.033590526843333385,3.3590526843333386
total_revenue,0.03305934265059945,3.305934265059945
revenue_per_guest,0.03142451499621397,3.1424514996213975
arrival_date_week_number,0.0306376781730767,3.06376781730767
cancellation_ratio,0.030628901149267786,3.0628901149267787
arrival_date_day_of_month,0.02934180337413955,2.934180337413955
total_of_special_requests,0.027820395260220926,2.7820395260220927
arrival_day_of_week,0.016617624639302084,1.6617624639302084
requires_parking,0.016197822572767553,1.6197822572767553
arrival_date_year,0.01563790929424478,1.563790929424478
required_car_parking_spaces,0.014749009580483592,1.4749009580483592
booking_changes,0.01432477865352157,1.432477865352157
arrival_month_num,0.013961617986186343,1.3961617986186343
is_direct_booking,0.012043738998549259,1.2043738998549258
stays_in_week_nights,0.010359644713755278,1.0359644713755278
total_nights,0.008652631790803653,0.8652631790803653
stays_in_weekend_nights,0.0068371709021023165,0.6837170902102316
has_agent,0.003807500202346803,0.3807500202346803
previous_cancellations,0.003309641057525736,0.33096410575257357
is_summer,0.0029705721935035286,0.29705721935035284
is_weekend_arrival,0.0029325719624309515,0.29325719624309515
is_peak_season,0.0027864156047255418,0.2786415604725542
has_canceled_before,0.0016859883398850776,0.16859883398850775
is_returning_customer,0.0014835587633018476,0.14835587633018477
previous_bookings_not_canceled,0.0010981862698338162,0.10981862698338163
total_previous_bookings,0.0010937655868465176,0.10937655868465176
is_repeated_guest,0.0005767876001768191,0.05767876001768191
repeated_and_canceled_before,0.00011218467559980575,0.011218467559980575
adults,0.0,0.0
children,0.0,0.0
days_in_waiting_list,0.0,0.0
is_family,0.0,0.0
babies,0.0,0.0
total_guests,0.0,0.0
